case,backend,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,simplices,intervals
uniform_h1_32,gudhi_edge_collapse,0.342285,0.337859,0.506319,11.238727960617615,40724,40724,0,139,39
uniform_h1_32,gudhi_simplex_tree,1.255212,1.238162,1.296472,3.0646998275988437,40928,41664,736,5488,39
uniform_h1_32,cocycle,3.846848,3.827276,3.868672,1.0,1344,3360,2016,,39
uniform_h1_64,gudhi_simplex_tree,10.425702,10.256029,11.665178,4.678827670309395,40704,44088,3384,43744,78
uniform_h1_64,cocycle,48.780063,47.824633,50.366918,1.0,1376,9456,8080,,78
uniform_h1_64,gudhi_edge_collapse,1.591229,1.571232,1.615429,30.655589484605922,40800,41540,740,277,78
uniform_h1_128,gudhi_edge_collapse,9.31578,9.12975,10.340123,82.78845679052102,40892,42700,1808,710,163
uniform_h1_128,gudhi_simplex_tree,97.350442,95.720586,99.385962,7.922296336363835,40788,62988,22200,349632,163
uniform_h1_128,cocycle,771.23905,769.149308,775.445022,1.0,1344,56804,55460,,163
circle_h1_128,cocycle,2444.27363,2429.257995,2463.290184,1.0,1292,56452,55160,,129
circle_h1_128,gudhi_simplex_tree,94.10042,91.559366,96.326706,25.975161747418344,40920,63024,22104,349632,129
circle_h1_128,gudhi_edge_collapse,152.78073,151.074543,154.284136,15.998572791215228,41064,62872,21808,341631,129
clusters_h1_128,gudhi_simplex_tree,94.323817,93.860017,100.535542,4.251688574053359,40828,62964,22136,349632,147
clusters_h1_128,cocycle,401.035495,398.512715,408.769744,1.0,1400,55632,54232,,147
clusters_h1_128,gudhi_edge_collapse,6.846992,6.36298,8.507021,58.57104769510465,40924,42748,1824,479,147
duplicates_h1_128,cocycle,403.438879,396.510692,423.765306,1.0,1348,54604,53256,,78
duplicates_h1_128,gudhi_simplex_tree,98.152347,97.691652,100.51055,4.1103334900387045,40796,62980,22184,349632,78
duplicates_h1_128,gudhi_edge_collapse,7.381786,7.210426,10.147762,54.65328837763652,40680,42528,1848,569,78
equal_h1_128,gudhi_simplex_tree,82.205293,78.508245,87.342988,2.0135155287385205,40808,63004,22196,349632,128
equal_h1_128,gudhi_edge_collapse,3.55825,3.46152,4.47518,46.51770786201082,40800,42712,1912,439,128
equal_h1_128,cocycle,165.521634,155.87632100000002,173.37301499999998,1.0,1376,53996,52620,,128
nonmetric_h1_64,gudhi_edge_collapse,10.845757,10.754184,12.638727,10.307678938408817,40828,43468,2640,28472,190
nonmetric_h1_64,gudhi_simplex_tree,12.449064,12.412832,13.154375,8.980159552557526,40876,44388,3512,43744,190
nonmetric_h1_64,cocycle,111.79458100000001,110.827442,119.205139,1.0,1348,9484,8136,,190
uniform_h1_128_cutoff,gudhi_edge_collapse,0.945513,0.85444,1.105723,2.435522303765257,40880,41568,688,593,162
uniform_h1_128_cutoff,gudhi_simplex_tree,1.515852,1.364161,1.532074,1.519157543084681,40692,41876,1184,3898,162
uniform_h1_128_cutoff,cocycle,2.302818,2.292252,2.3777310000000003,1.0,1324,3292,1968,,162
uniform_h1_128_points,gudhi_simplex_tree,98.168223,97.986023,98.839641,7.875343653719798,41404,63004,21600,349632,163
uniform_h1_128_points,gudhi_edge_collapse,9.170236,9.119326,9.66652,84.30628088524658,41512,42736,1224,710,163
uniform_h1_128_points,cocycle,773.108492,770.0840039999999,780.114436,1.0,1372,56996,55624,,163
uniform_h0_128,cocycle,0.420807,0.417437,0.48928800000000006,1.0,1296,2604,1308,,128
uniform_h0_128,gudhi_edge_collapse,9.312192,8.875098,10.175671,0.045188823426321106,40888,42716,1828,469,128
uniform_h0_128,gudhi_simplex_tree,2.080429,2.027587,2.385751,0.2022693396410067,41056,42560,1504,8256,128
uniform_h0_512,gudhi_edge_collapse,480.58373,477.63377,495.174529,0.01726573848016037,43116,62040,18124,1981,512
uniform_h0_512,gudhi_simplex_tree,39.865933,39.673355,41.384157,0.20813843739716317,43404,59140,14936,131328,512
uniform_h0_512,cocycle,8.297633000000001,8.178676,9.265773,1.0,3532,7160,2636,,512
uniform_h0_1024,gudhi_edge_collapse,3748.159786,3714.782259,3760.272962,0.00972094256389314,49412,126952,73584,4144,1024
uniform_h0_1024,gudhi_simplex_tree,190.282749,187.602171,193.138107,0.19148160404178313,49764,112852,59132,524800,1024
uniform_h0_1024,cocycle,36.435646000000006,36.073761000000005,38.353106,1.0,6400,21692,11292,,1024
