case,backend,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,simplices,intervals
uniform_h1_32,gudhi_edge_collapse,0.340883,0.32979,0.50307,0.31105980644385317,40972,40972,0,139,39
uniform_h1_32,gudhi_simplex_tree,1.310191,1.250061,1.31676,0.08093094823579156,41172,41868,696,5488,39
uniform_h1_32,cocycle,0.10603499999999999,0.103236,0.127119,1.0,1280,1280,0,,39
uniform_h1_64,gudhi_simplex_tree,10.655507,10.141659,11.52704,0.05764014795354177,40948,44496,3548,43744,78
uniform_h1_64,cocycle,0.614185,0.543235,0.664313,1.0,1316,2708,1392,,78
uniform_h1_64,gudhi_edge_collapse,1.59139,1.558398,1.731856,0.38594247795951964,41108,41796,688,277,78
uniform_h1_128,gudhi_edge_collapse,9.585774,9.142883,10.29382,0.2801512950336613,40960,42724,1764,710,163
uniform_h1_128,gudhi_simplex_tree,98.081309,94.903948,100.12092,0.027380007744390932,40892,63132,22240,349632,163
uniform_h1_128,cocycle,2.685467,2.681061,2.739336,1.0,1344,3472,2128,,163
circle_h1_128,cocycle,10.910178,10.848132,11.370144,1.0,1372,4560,3188,,129
circle_h1_128,gudhi_simplex_tree,92.794639,90.810845,93.917947,0.11757336541823284,40824,63004,22180,349632,129
circle_h1_128,gudhi_edge_collapse,153.743477,151.766531,156.477178,0.0709635180164424,41088,62828,21740,341631,129
clusters_h1_128,gudhi_simplex_tree,94.403927,93.790423,97.529414,0.02163059382053037,40852,63156,22304,349632,147
clusters_h1_128,cocycle,2.042013,1.984169,2.213,1.0,1332,3356,2024,,147
clusters_h1_128,gudhi_edge_collapse,6.248952,6.195569,6.435008,0.3267768739462233,40984,42836,1852,479,147
duplicates_h1_128,cocycle,3.159382,2.807837,3.441998,1.0,1312,3492,2180,,78
duplicates_h1_128,gudhi_simplex_tree,98.252855,97.241158,100.562098,0.032155625401419634,41060,63200,22140,349632,78
duplicates_h1_128,gudhi_edge_collapse,7.254647,7.206812,7.308306,0.43549768858498555,41028,42796,1768,569,78
equal_h1_128,gudhi_simplex_tree,82.697119,79.639912,85.428857,0.020717493193444864,40908,63064,22156,349632,128
equal_h1_128,gudhi_edge_collapse,3.548936,3.462376,3.952255,0.4827579308277185,41096,43008,1912,439,128
equal_h1_128,cocycle,1.713277,1.707312,1.792735,1.0,1300,3512,2212,,128
nonmetric_h1_64,gudhi_edge_collapse,10.908734,10.766265,12.323087,0.38340205197046695,41088,43656,2568,28472,190
nonmetric_h1_64,gudhi_simplex_tree,12.66527,12.390695,13.455245,0.3302283330714624,41080,44580,3500,43744,190
nonmetric_h1_64,cocycle,4.182431,3.9723750000000004,4.611484,1.0,1368,3060,1692,,190
uniform_h1_128_cutoff,gudhi_edge_collapse,0.98226,0.936015,1.119071,0.5859711278073015,41196,41884,688,593,162
uniform_h1_128_cutoff,gudhi_simplex_tree,1.366697,1.350836,1.74354,0.42114382339318807,40904,42024,1120,3898,162
uniform_h1_128_cutoff,cocycle,0.575576,0.567306,0.650925,1.0,1380,2636,1256,,162
uniform_h1_128_points,gudhi_simplex_tree,100.697708,95.435353,105.206229,0.031342024189865376,41424,63028,21604,349632,163
uniform_h1_128_points,gudhi_edge_collapse,9.159451,9.093232,9.26462,0.344569778254177,41492,42728,1236,710,163
uniform_h1_128_points,cocycle,3.15607,2.839672,3.4826520000000003,1.0,1344,3332,1988,,163
uniform_h0_128,cocycle,0.429367,0.41887199999999997,0.475638,1.0,1384,2680,1296,,128
uniform_h0_128,gudhi_edge_collapse,9.106249,8.952281,9.427836,0.04715080819775519,41012,42924,1912,469,128
uniform_h0_128,gudhi_simplex_tree,2.039737,1.974578,2.086827,0.2105011577472978,40952,42516,1564,8256,128
uniform_h0_512,gudhi_edge_collapse,483.640231,479.275842,487.356055,0.017327423284602638,43556,62908,18560,1981,512
uniform_h0_512,gudhi_simplex_tree,40.651396,39.812978,41.156009,0.2061488614068752,43548,59292,14952,131328,512
uniform_h0_512,cocycle,8.380239,8.245193,11.59304,1.0,3424,7052,2628,,512
uniform_h0_1024,gudhi_edge_collapse,3750.722543,3733.368456,3779.678387,0.010442329858041968,49564,121356,67840,4144,1024
uniform_h0_1024,gudhi_simplex_tree,187.922115,187.328579,191.026287,0.20841763088926493,49456,112652,59240,524800,1024
uniform_h0_1024,cocycle,39.166281999999995,37.325506000000004,42.984895,1.0,6512,21804,11292,,1024
