case,kind,n,backend,status,validation,median_ms,min_ms,max_ms,max_peak_rss_kib,max_hwm_growth_kib,intervals,reason
check_empty_h0,semantic,0,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_empty_h0,semantic,0,gudhi_cpp,completed,passed,0.008005,0.008005,0.008005,1988,0,0,
check_empty_h0,semantic,0,cocycle,completed,passed,0.001232,0.001232,0.001232,1128,0,0,
check_empty_h0,semantic,0,gudhi_collapse_cpp,completed,passed,0.003437,0.003437,0.003437,1988,0,0,
check_empty_h1,semantic,0,gudhi_collapse_cpp,completed,passed,0.004469,0.004469,0.004469,2004,0,0,
check_empty_h1,semantic,0,cocycle,completed,passed,0.004198,0.004198,0.004198,1048,0,0,
check_empty_h1,semantic,0,gudhi_cpp,completed,passed,0.006452,0.006452,0.006452,1976,0,0,
check_empty_h1,semantic,0,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_singleton_h0,semantic,1,gudhi_collapse_cpp,completed,passed,0.009968,0.009968,0.009968,1960,0,1,
check_singleton_h0,semantic,1,cocycle,completed,passed,0.001533,0.001533,0.001533,1092,0,1,
check_singleton_h0,semantic,1,gudhi_cpp,completed,passed,0.008806,0.008806,0.008806,1972,0,1,
check_singleton_h0,semantic,1,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_singleton_h1,semantic,1,cocycle,completed,passed,0.0047090000000000005,0.0047090000000000005,0.0047090000000000005,1092,0,1,
check_singleton_h1,semantic,1,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_singleton_h1,semantic,1,gudhi_collapse_cpp,completed,passed,0.012173,0.012173,0.012173,2020,0,1,
check_singleton_h1,semantic,1,gudhi_cpp,completed,passed,0.008285,0.008285,0.008285,2004,0,1,
check_duplicates_h0,semantic,2,gudhi_collapse_cpp,completed,passed,0.01083,0.01083,0.01083,2048,0,1,
check_duplicates_h0,semantic,2,cocycle,completed,passed,0.001753,0.001753,0.001753,1028,0,1,
check_duplicates_h0,semantic,2,gudhi_cpp,completed,passed,0.008736,0.008736,0.008736,1960,0,1,
check_duplicates_h0,semantic,2,ripser_cpp,completed,passed,0.006072,0.006072,0.006072,1956,0,1,
check_duplicates_h1,semantic,2,gudhi_collapse_cpp,completed,passed,0.014076,0.014076,0.014076,2016,0,1,
check_duplicates_h1,semantic,2,gudhi_cpp,completed,passed,0.011582,0.011582,0.011582,2048,0,1,
check_duplicates_h1,semantic,2,ripser_cpp,completed,passed,0.006533,0.006533,0.006533,1988,0,1,
check_duplicates_h1,semantic,2,cocycle,completed,passed,0.005621,0.005621,0.005621,1092,0,1,
check_pair_h0,semantic,2,gudhi_collapse_cpp,completed,passed,0.012593,0.012593,0.012593,2048,0,2,
check_pair_h0,semantic,2,gudhi_cpp,completed,passed,0.008636,0.008636,0.008636,2020,0,2,
check_pair_h0,semantic,2,cocycle,completed,passed,0.001863,0.001863,0.001863,1096,0,2,
check_pair_h0,semantic,2,ripser_cpp,completed,passed,0.005871,0.005871,0.005871,1996,0,2,
check_pair_h1,semantic,2,gudhi_collapse_cpp,completed,passed,0.016812,0.016812,0.016812,1996,0,2,
check_pair_h1,semantic,2,cocycle,completed,passed,0.005621,0.005621,0.005621,1032,0,2,
check_pair_h1,semantic,2,gudhi_cpp,completed,passed,0.015719,0.015719,0.015719,1976,0,2,
check_pair_h1,semantic,2,ripser_cpp,completed,passed,0.006332,0.006332,0.006332,1916,0,2,
check_square_full_h0,semantic,4,cocycle,completed,passed,0.002895,0.002895,0.002895,1096,0,4,
check_square_full_h0,semantic,4,gudhi_cpp,completed,passed,0.014527,0.014527,0.014527,1968,0,4,
check_square_full_h0,semantic,4,ripser_cpp,completed,passed,0.005871,0.005871,0.005871,1960,0,4,
check_square_full_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.015459,0.015459,0.015459,2044,0,4,
check_square_full_h1,semantic,4,ripser_cpp,completed,passed,0.011451,0.011451,0.011451,1980,0,5,
check_square_full_h1,semantic,4,cocycle,completed,passed,0.008705999999999998,0.008705999999999998,0.008705999999999998,1048,0,5,
check_square_full_h1,semantic,4,gudhi_cpp,completed,passed,0.023374,0.023374,0.023374,2076,0,5,
check_square_full_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.022713,0.022713,0.022713,2000,0,5,
check_square_isolated_h0,semantic,4,gudhi_cpp,completed,passed,0.011602,0.011602,0.011602,2060,0,4,
check_square_isolated_h0,semantic,4,cocycle,completed,passed,0.002044,0.002044,0.002044,1060,0,4,
check_square_isolated_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.005099,0.005099,0.005099,2000,0,4,
check_square_isolated_h0,semantic,4,ripser_cpp,completed,passed,0.005891,0.005891,0.005891,1952,0,4,
check_square_isolated_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.007364,0.007364,0.007364,1960,0,4,
check_square_isolated_h1,semantic,4,gudhi_cpp,completed,passed,0.009298,0.009298,0.009298,1996,0,4,
check_square_isolated_h1,semantic,4,ripser_cpp,completed,passed,0.007604,0.007604,0.007604,1952,0,4,
check_square_isolated_h1,semantic,4,cocycle,completed,passed,0.005540000000000001,0.005540000000000001,0.005540000000000001,1072,0,4,
check_square_cycle_h0,semantic,4,gudhi_cpp,completed,passed,0.01604,0.01604,0.01604,1968,0,4,
check_square_cycle_h0,semantic,4,cocycle,completed,passed,0.002384,0.002384,0.002384,1048,0,4,
check_square_cycle_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.012474,0.012474,0.012474,1972,0,4,
check_square_cycle_h0,semantic,4,ripser_cpp,completed,passed,0.006492,0.006492,0.006492,1952,0,4,
check_square_cycle_h1,semantic,4,ripser_cpp,completed,passed,0.010139,0.010139,0.010139,1960,0,5,
check_square_cycle_h1,semantic,4,cocycle,completed,passed,0.005941,0.005941,0.005941,1080,0,5,
check_square_cycle_h1,semantic,4,gudhi_cpp,completed,passed,0.020769,0.020769,0.020769,2032,0,5,
check_square_cycle_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.01637,0.01637,0.01637,1972,0,5,
check_square_filled_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.017994,0.017994,0.017994,2060,0,4,
check_square_filled_h0,semantic,4,ripser_cpp,completed,passed,0.007374,0.007374,0.007374,1984,0,4,
check_square_filled_h0,semantic,4,cocycle,completed,passed,0.002785,0.002785,0.002785,1048,0,4,
check_square_filled_h0,semantic,4,gudhi_cpp,completed,passed,0.015089,0.015089,0.015089,1996,0,4,
check_square_filled_h1,semantic,4,ripser_cpp,completed,passed,0.011812,0.011812,0.011812,1912,0,5,
check_square_filled_h1,semantic,4,cocycle,completed,passed,0.009017,0.009017,0.009017,1048,0,5,
check_square_filled_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.032441,0.032441,0.032441,2000,0,5,
check_square_filled_h1,semantic,4,gudhi_cpp,completed,passed,0.021751,0.021751,0.021751,1976,0,5,
check_tetrahedron_h0,semantic,4,gudhi_collapse_cpp,completed,passed,0.013365,0.013365,0.013365,2024,0,4,
check_tetrahedron_h0,semantic,4,gudhi_cpp,completed,passed,0.011912,0.011912,0.011912,2020,0,4,
check_tetrahedron_h0,semantic,4,ripser_cpp,completed,passed,0.007274,0.007274,0.007274,1956,0,4,
check_tetrahedron_h0,semantic,4,cocycle,completed,passed,0.002865,0.002865,0.002865,1048,0,4,
check_tetrahedron_h1,semantic,4,gudhi_cpp,completed,passed,0.024386,0.024386,0.024386,2076,0,4,
check_tetrahedron_h1,semantic,4,ripser_cpp,completed,passed,0.010851,0.010851,0.010851,1940,0,4,
check_tetrahedron_h1,semantic,4,gudhi_collapse_cpp,completed,passed,0.017433,0.017433,0.017433,2004,0,4,
check_tetrahedron_h1,semantic,4,cocycle,completed,passed,0.008215,0.008215,0.008215,1084,0,4,
uniform_h1_32,benchmark,32,gudhi_collapse_cpp,completed,passed,0.314933,0.312789,0.315684,2020,0,39,
uniform_h1_32,benchmark,32,gudhi_cpp,completed,passed,1.458745,1.452804,1.505383,4028,1980,39,
uniform_h1_32,benchmark,32,cocycle,completed,passed,0.149742,0.14873,0.14998299999999998,1132,0,39,
uniform_h1_32,benchmark,32,ripser_cpp,completed,passed,0.141356,0.139983,0.144462,1992,0,39,
uniform_h1_64,benchmark,64,gudhi_collapse_cpp,completed,passed,1.495274,1.493751,1.511534,3836,1776,78,
uniform_h1_64,benchmark,64,cocycle,completed,passed,0.665102,0.6604519999999999,0.675371,2376,1332,78,
uniform_h1_64,benchmark,64,gudhi_cpp,completed,passed,11.902377,11.798934,11.938917,6400,4352,78,
uniform_h1_64,benchmark,64,ripser_cpp,completed,passed,0.625146,0.621479,0.626519,3636,1648,78,
uniform_h1_128,benchmark,128,gudhi_collapse_cpp,completed,passed,9.054128,8.966063,9.092631,4180,2208,163,
uniform_h1_128,benchmark,128,cocycle,completed,passed,2.915928,2.9012000000000002,2.962905,3132,2052,163,
uniform_h1_128,benchmark,128,ripser_cpp,completed,passed,2.631973,2.624408,2.664083,3724,1824,163,
uniform_h1_128,benchmark,128,gudhi_cpp,completed,passed,118.73583,117.799458,127.093108,25092,23120,163,
circle_h1_128,benchmark,128,gudhi_collapse_cpp,completed,passed,174.647918,174.520979,174.990363,24216,22164,129,
circle_h1_128,benchmark,128,gudhi_cpp,completed,passed,105.922969,105.649435,106.777758,25088,23112,129,
circle_h1_128,benchmark,128,cocycle,completed,passed,12.061488,11.965197,12.072118,4312,3260,129,
circle_h1_128,benchmark,128,ripser_cpp,completed,passed,13.489756,13.439921,13.532566,5708,3764,129,
clusters_h1_128,benchmark,128,cocycle,completed,passed,2.2067319999999997,2.182857,2.230277,2900,1808,147,
clusters_h1_128,benchmark,128,ripser_cpp,completed,passed,1.943096,1.936324,1.95568,3704,1776,147,
clusters_h1_128,benchmark,128,gudhi_cpp,completed,passed,118.237574,117.186436,118.528451,25092,23080,147,
clusters_h1_128,benchmark,128,gudhi_collapse_cpp,completed,passed,6.211449,6.172555,6.231106,4168,2124,147,
duplicates_h1_128,benchmark,128,cocycle,completed,passed,2.9907380000000003,2.982162,2.9985329999999997,2924,1840,78,
duplicates_h1_128,benchmark,128,gudhi_collapse_cpp,completed,passed,7.42335,7.418531,7.426154,4204,2232,78,
duplicates_h1_128,benchmark,128,ripser_cpp,completed,passed,2.99189,2.977954,2.99691,3828,1920,78,
duplicates_h1_128,benchmark,128,gudhi_cpp,completed,passed,120.378762,119.465925,122.810107,25016,23044,78,
equal_h1_128,benchmark,128,gudhi_cpp,completed,passed,97.939035,97.349495,98.543262,25120,23108,128,
equal_h1_128,benchmark,128,cocycle,completed,passed,2.0067269999999997,1.977952,2.009111,3312,2164,128,
equal_h1_128,benchmark,128,gudhi_collapse_cpp,completed,passed,8.134868,8.096537,8.248643,4292,2216,128,
equal_h1_128,benchmark,128,ripser_cpp,completed,passed,0.872592,0.838799,0.875227,3728,1784,128,
nonmetric_h1_64,benchmark,64,gudhi_cpp,completed,passed,13.88029,13.815028,14.026045,6304,4296,190,
nonmetric_h1_64,benchmark,64,cocycle,completed,passed,4.769525,4.755429,4.787209,2984,1832,190,
nonmetric_h1_64,benchmark,64,ripser_cpp,completed,passed,6.399522,6.396307,6.405443,4400,2388,190,
nonmetric_h1_64,benchmark,64,gudhi_collapse_cpp,completed,passed,11.935501,11.891608,12.011434,5528,3496,190,
uniform_h1_128_cutoff,benchmark,128,cocycle,completed,passed,0.6308769999999999,0.6248659999999999,0.631809,2404,1320,162,
uniform_h1_128_cutoff,benchmark,128,gudhi_cpp,completed,passed,1.514089,1.498339,1.521563,3996,1972,162,
uniform_h1_128_cutoff,benchmark,128,ripser_cpp,completed,passed,0.566877,0.559633,0.579991,3660,1764,162,
uniform_h1_128_cutoff,benchmark,128,gudhi_collapse_cpp,completed,passed,0.724975,0.719755,0.727829,3704,1680,162,
uniform_h0_128,benchmark,128,gudhi_cpp,completed,passed,2.370952,2.360301,2.426527,4236,2216,128,
uniform_h0_128,benchmark,128,cocycle,completed,passed,0.407427,0.406104,0.415121,2440,1360,128,
uniform_h0_128,benchmark,128,gudhi_collapse_cpp,completed,passed,8.867738,8.856577,8.871163,4160,2136,128,
uniform_h0_128,benchmark,128,ripser_cpp,completed,passed,1.011994,0.998749,1.04154,3808,1808,128,
uniform_h0_512,benchmark,512,gudhi_collapse_cpp,completed,passed,473.845367,470.789417,475.547981,13912,9512,512,
uniform_h0_512,benchmark,512,cocycle,completed,passed,7.9107259999999995,7.882493000000001,7.938649000000001,6892,2808,512,
uniform_h0_512,benchmark,512,ripser_cpp,completed,passed,18.988352,18.980548,19.082691,6996,2048,512,
uniform_h0_512,benchmark,512,gudhi_cpp,completed,passed,47.567814,47.486041,47.681057,16520,12080,512,
uniform_h0_1024,benchmark,1024,gudhi_collapse_cpp,completed,passed,3673.595899,3671.507468,3681.630668,50100,42580,1024,
uniform_h0_1024,benchmark,1024,gudhi_cpp,completed,passed,273.069831,263.784478,273.532091,54596,47032,1024,
uniform_h0_1024,benchmark,1024,ripser_cpp,completed,passed,83.80181,83.728613,84.569846,17748,8336,1024,
uniform_h0_1024,benchmark,1024,cocycle,completed,passed,35.866164,35.600173,36.32644,21524,11408,1024,
bipartite_h1_8,semantic,8,gudhi_collapse_cpp,completed,passed,0.049413,0.049413,0.049413,1972,0,17,
bipartite_h1_8,semantic,8,cocycle,completed,passed,0.020789000000000002,0.020789000000000002,0.020789000000000002,1048,0,17,
bipartite_h1_8,semantic,8,ripser_cpp,completed,passed,0.029837,0.029837,0.029837,1944,0,17,
bipartite_h1_8,semantic,8,gudhi_cpp,completed,passed,0.065393,0.065393,0.065393,1976,0,17,
bipartite_h1_8_cutoff,semantic,8,ripser_cpp,completed,passed,0.016662,0.016662,0.016662,1912,0,17,
bipartite_h1_8_cutoff,semantic,8,gudhi_cpp,completed,passed,0.03171,0.03171,0.03171,1976,0,17,
bipartite_h1_8_cutoff,semantic,8,cocycle,completed,passed,0.010169000000000001,0.010169000000000001,0.010169000000000001,1044,0,17,
bipartite_h1_8_cutoff,semantic,8,gudhi_collapse_cpp,completed,passed,0.032472,0.032472,0.032472,2020,0,17,
