case,kind,n,backend,status,validation,median_ms,min_ms,max_ms,max_peak_rss_kib,max_hwm_growth_kib,intervals,reason
check_empty_h0,semantic,0,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_empty_h0,semantic,0,gudhi_cpp,completed,passed,0.007434,0.007434,0.007434,2080,0,0,
check_empty_h0,semantic,0,cocycle,completed,passed,0.001493,0.001493,0.001493,1056,0,0,
check_empty_h0,semantic,0,gudhi_collapse_cpp,completed,passed,0.003236,0.003236,0.003236,1968,0,0,
check_empty_h1,semantic,0,gudhi_collapse_cpp,completed,passed,0.004569,0.004569,0.004569,2052,0,0,
check_empty_h1,semantic,0,cocycle,completed,passed,0.00513,0.00513,0.00513,1080,0,0,
check_empty_h1,semantic,0,gudhi_cpp,completed,passed,0.007835,0.007835,0.007835,2008,0,0,
check_empty_h1,semantic,0,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_singleton_h0,semantic,1,gudhi_collapse_cpp,completed,passed,0.008897,0.008897,0.008897,1972,0,1,
check_singleton_h0,semantic,1,cocycle,completed,passed,0.0023439999999999997,0.0023439999999999997,0.0023439999999999997,1128,0,1,
check_singleton_h0,semantic,1,gudhi_cpp,completed,passed,0.008426,0.008426,0.008426,2004,0,1,
check_singleton_h0,semantic,1,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_singleton_h1,semantic,1,cocycle,completed,passed,0.004608,0.004608,0.004608,1028,0,1,
check_singleton_h1,semantic,1,ripser_cpp,unsupported,passed,,,,,,,upstream compressed matrix adapter requires at least two vertices
check_singleton_h1,semantic,1,gudhi_collapse_cpp,completed,passed,0.008105,0.008105,0.008105,2020,0,1,
check_singleton_h1,semantic,1,gudhi_cpp,completed,passed,0.005991,0.005991,0.005991,1992,0,1,
check_duplicates_h0,semantic,2,gudhi_collapse_cpp,completed,passed,0.009358,0.009358,0.009358,1972,0,1,
check_duplicates_h0,semantic,2,cocycle,completed,passed,0.001513,0.001513,0.001513,1088,0,1,
check_duplicates_h0,semantic,2,gudhi_cpp,completed,passed,0.008887,0.008887,0.008887,1972,0,1,
check_duplicates_h0,semantic,2,ripser_cpp,completed,passed,0.006583,0.006583,0.006583,1956,0,1,
check_duplicates_h1,semantic,2,gudhi_collapse_cpp,completed,passed,0.011912,0.011912,0.011912,2008,0,1,
check_duplicates_h1,semantic,2,gudhi_cpp,completed,passed,0.010921,0.010921,0.010921,2048,0,1,
check_duplicates_h1,semantic,2,ripser_cpp,completed,passed,0.004699,0.004699,0.004699,1992,0,1,
check_duplicates_h1,semantic,2,cocycle,completed,passed,0.0041080000000000005,0.0041080000000000005,0.0041080000000000005,1040,0,1,
check_pair_h0,semantic,2,gudhi_collapse_cpp,completed,passed,0.009699,0.009699,0.009699,1996,0,2,
check_pair_h0,semantic,2,gudhi_cpp,completed,passed,0.011252,0.011252,0.011252,2056,0,2,
check_pair_h0,semantic,2,cocycle,completed,passed,0.002024,0.002024,0.002024,1060,0,2,
check_pair_h0,semantic,2,ripser_cpp,completed,passed,0.004518,0.004518,0.004518,1940,0,2,
check_pair_h1,semantic,2,gudhi_collapse_cpp,completed,passed,0.013656,0.013656,0.013656,2056,0,2,
check_pair_h1,semantic,2,cocycle,completed,passed,0.004028,0.004028,0.004028,1092,0,2,
check_pair_h1,semantic,2,gudhi_cpp,completed,passed,0.011391,0.011391,0.011391,2008,0,2,
check_pair_h1,semantic,2,ripser_cpp,completed,passed,0.005781,0.005781,0.005781,1908,0,2,
