case,backend,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,simplices,intervals
uniform_h1_32,ripser_py,0.293154,0.273142,0.324039,13.689808087216958,116168,116168,0,,39
uniform_h1_32,gudhi_simplex_tree,1.403472,1.282091,1.485957,2.8594955937845574,40880,41616,736,5488,39
uniform_h1_32,cocycle,4.013222000000001,3.839617,4.35283,1.0,1312,3248,1936,,39
uniform_h1_32,gudhi_edge_collapse,0.337803,0.330168,0.497817,11.880362222952431,40872,40872,0,139,39
uniform_h1_64,gudhi_simplex_tree,10.83003,10.112659,12.390118,5.151371602848745,40888,44436,3548,43744,78
uniform_h1_64,gudhi_edge_collapse,2.060703,1.778556,2.093523,27.07304691651344,40992,41728,736,277,78
uniform_h1_64,cocycle,55.789509,48.778704999999995,62.134611,1.0,1312,9388,8076,,78
uniform_h1_64,ripser_py,1.319686,1.300676,1.53319,42.27483583216008,116620,117200,580,,78
uniform_h1_128,gudhi_edge_collapse,9.198967,9.136942,10.034867,84.3880903149234,41092,42920,1828,710,163
uniform_h1_128,cocycle,776.2832579999999,774.2195549999999,782.225126,1.0,1344,56848,55504,,163
uniform_h1_128,ripser_py,5.837766,5.806753,6.34288,132.97608331680303,116768,118408,1640,,163
uniform_h1_128,gudhi_simplex_tree,97.313506,95.892776,99.078309,7.977137911360422,41244,63484,22240,349632,163
circle_h1_128,gudhi_simplex_tree,87.964554,84.699945,91.838988,25.181255440685803,40876,63032,22156,349632,129
circle_h1_128,ripser_py,31.908426,31.596146,34.691242,69.41921560154677,116532,121088,4556,,129
circle_h1_128,gudhi_edge_collapse,146.637382,143.423418,154.588351,15.105683651662577,40828,62592,21764,341631,129
circle_h1_128,cocycle,2215.0579040000002,2206.281097,2249.07116,1.0,1344,56716,55372,,129
clusters_h1_128,ripser_py,4.432239,4.389133,4.929666,91.09270122843105,116576,118208,1632,,147
clusters_h1_128,gudhi_edge_collapse,6.346731,6.28816,6.850961,63.614579379526255,40964,42820,1856,479,147
clusters_h1_128,cocycle,403.74462300000005,401.746379,409.33813299999997,1.0,1304,55392,54088,,147
clusters_h1_128,gudhi_simplex_tree,96.03277,94.369016,97.363897,4.204238022083504,41076,63320,22244,349632,147
duplicates_h1_128,cocycle,409.368705,398.451037,412.609726,1.0,1328,54644,53316,,78
duplicates_h1_128,gudhi_simplex_tree,97.78422,97.125396,100.152475,4.18644956210726,41004,63220,22216,349632,78
duplicates_h1_128,gudhi_edge_collapse,7.262668,7.206149,8.755303,56.3661597914155,41064,42876,1812,569,78
duplicates_h1_128,ripser_py,6.328576,6.224328,7.044525,64.6857531615327,116760,118400,1640,,78
equal_h1_128,gudhi_simplex_tree,80.122667,78.77944,82.73145,1.9658308054074136,40876,63032,22156,349632,128
equal_h1_128,ripser_py,3.869314,3.835637,3.963855,40.70685578890728,116372,117804,1432,,128
equal_h1_128,gudhi_edge_collapse,3.464314,3.416083,3.551726,45.465742135383806,41120,42948,1828,439,128
equal_h1_128,cocycle,157.507607,156.22716,167.290685,1.0,1336,54020,52684,,128
nonmetric_h1_64,cocycle,112.67585700000001,110.319124,114.18343,1.0,1296,9440,8144,,190
nonmetric_h1_64,gudhi_edge_collapse,10.979885,10.73349,12.718327,10.262025239790765,40920,43424,2504,28472,190
nonmetric_h1_64,gudhi_simplex_tree,12.733973,12.586305,13.503313,8.848444786242283,41084,44580,3496,43744,190
nonmetric_h1_64,ripser_py,11.102942,11.013007,11.686994,10.148288354564043,116396,117768,1372,,190
uniform_h1_128_cutoff,cocycle,2.311366,2.295728,2.67726,1.0,1328,3300,1972,,162
uniform_h1_128_cutoff,gudhi_edge_collapse,0.85546,0.839097,0.866975,2.7018983938465855,40940,41628,688,593,162
uniform_h1_128_cutoff,ripser_py,0.874308,0.868826,0.961503,2.6436518938406146,116360,117160,800,,162
uniform_h1_128_cutoff,gudhi_simplex_tree,1.363109,1.324691,1.385757,1.6956575006107364,41072,42048,976,3898,162
uniform_h0_128,cocycle,0.478293,0.46748999999999996,0.5446,1.0,1384,2672,1288,,128
uniform_h0_128,gudhi_edge_collapse,9.028727,9.02592,9.417145,0.05297457770071019,40932,42724,1792,469,128
uniform_h0_128,ripser_py,1.769145,1.733899,1.834178,0.27035262796435566,116568,117940,1372,,128
uniform_h0_128,gudhi_simplex_tree,2.097121,2.013641,2.315856,0.22807124624664005,41104,42608,1504,8256,128
uniform_h0_512,cocycle,8.343326999999999,8.176680000000001,8.82546,1.0,3472,7100,2640,,512
uniform_h0_512,ripser_py,37.648463,36.428303,38.762008,0.22161135768012624,118628,134108,14660,,512
uniform_h0_512,gudhi_edge_collapse,479.753284,475.190599,482.071927,0.01739087001226238,43324,62660,18536,1981,512
uniform_h0_512,gudhi_simplex_tree,40.147667,39.711794,41.592618,0.2078159859201781,43432,59504,15276,131328,512
uniform_h0_1024,ripser_py,162.703476,161.23791,168.515638,0.22716300172960044,125008,185512,56532,,1024
uniform_h0_1024,gudhi_simplex_tree,191.348368,189.149018,194.100782,0.1931566513282204,49840,113036,59244,524800,1024
uniform_h0_1024,cocycle,36.960210000000004,36.032733,38.441107,1.0,6496,21788,11296,,1024
uniform_h0_1024,gudhi_edge_collapse,3730.017207,3693.513468,3785.711553,0.009908857774338949,49620,121072,67496,4144,1024
