case,backend,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,simplices,intervals
uniform_h1_32,ripser_py,0.285643,0.275663,0.321405,0.3241528761425976,116784,116784,0,,39
uniform_h1_32,gudhi_simplex_tree,1.258862,1.240674,1.415632,0.07355214471482974,40836,41548,712,5488,39
uniform_h1_32,cocycle,0.092592,0.089592,0.117451,1.0,1320,1320,0,,39
uniform_h1_32,gudhi_edge_collapse,0.337799,0.325972,0.496029,0.274103830976409,40992,40992,0,139,39
uniform_h1_64,gudhi_simplex_tree,10.392777,10.09922,11.382587,0.05297467654699028,41104,44564,3460,43744,78
uniform_h1_64,gudhi_edge_collapse,1.575505,1.562978,1.62182,0.34944605063138484,40896,41640,744,277,78
uniform_h1_64,cocycle,0.550554,0.528603,0.5951949999999999,1.0,1368,2632,1264,,78
uniform_h1_64,ripser_py,1.305352,1.284969,1.363589,0.42176669587973203,116176,116760,584,,78
uniform_h1_128,gudhi_edge_collapse,9.716334,9.153161,10.299871,0.27626067609450233,40844,42696,1852,710,163
uniform_h1_128,cocycle,2.684241,2.6756729999999997,2.728742,1.0,1348,3412,2064,,163
uniform_h1_128,ripser_py,5.817583,5.781461,5.971422,0.4614014101732627,116568,118208,1640,,163
uniform_h1_128,gudhi_simplex_tree,97.619274,97.458374,98.416784,0.027497039160524796,40852,63156,22304,349632,163
circle_h1_128,gudhi_simplex_tree,87.328624,84.874835,90.40826,0.12706103098567087,40920,63172,22252,349632,129
circle_h1_128,ripser_py,31.925048,31.576909,33.618706,0.3475661179898618,116700,121260,4560,,129
circle_h1_128,gudhi_edge_collapse,145.443421,144.059807,151.811704,0.07629128167990494,41344,63084,21740,341631,129
circle_h1_128,cocycle,11.096065000000001,11.0214,12.646788,1.0,1400,4908,3508,,129
clusters_h1_128,ripser_py,4.386086,4.36292,4.625681,0.5993332096087491,116776,118408,1632,,147
clusters_h1_128,gudhi_edge_collapse,6.407605,6.232203,7.145607,0.4102511000600068,40876,42704,1828,479,147
clusters_h1_128,cocycle,2.628727,1.978941,2.863723,1.0,1312,3252,1940,,147
clusters_h1_128,gudhi_simplex_tree,96.90796,93.368358,101.572011,0.02712601730549276,40776,63016,22240,349632,147
duplicates_h1_128,cocycle,3.517805,3.156056,4.017506,1.0,1332,3576,2244,,78
duplicates_h1_128,gudhi_simplex_tree,97.127882,96.869945,102.356122,0.0362182817905985,40896,62976,22080,349632,78
duplicates_h1_128,gudhi_edge_collapse,7.270595,7.167639,9.81549,0.48384004335271047,40840,42668,1828,569,78
duplicates_h1_128,ripser_py,6.28612,6.214435,6.88459,0.5596146748709856,116228,117864,1636,,78
equal_h1_128,gudhi_simplex_tree,82.487909,80.168397,84.966912,0.02097685613536403,40988,63228,22240,349632,128
equal_h1_128,ripser_py,3.859775,3.835281,4.005199,0.44829996567157415,116700,118072,1372,,128
equal_h1_128,gudhi_edge_collapse,3.490664,3.375465,3.590375,0.4957042556946185,40960,42848,1888,439,128
equal_h1_128,cocycle,1.730337,1.7227709999999998,1.789517,1.0,1372,3628,2256,,128
nonmetric_h1_64,cocycle,4.026158000000001,3.9742120000000005,4.525424,1.0,1348,3060,1712,,190
nonmetric_h1_64,gudhi_edge_collapse,11.011737,10.763646,11.69953,0.36562424256954196,41120,43684,2564,28472,190
nonmetric_h1_64,gudhi_simplex_tree,12.473178,12.3401,13.574014,0.3227852596988514,41388,44888,3500,43744,190
nonmetric_h1_64,ripser_py,11.031012,10.995583,11.080955,0.36498537033592204,116448,117820,1372,,190
uniform_h1_128_cutoff,cocycle,0.6407029999999999,0.579406,0.7129359999999999,1.0,1332,2704,1372,,162
uniform_h1_128_cutoff,gudhi_edge_collapse,1.10345,0.959254,1.152959,0.5806361865059585,40960,41648,688,593,162
uniform_h1_128_cutoff,ripser_py,0.884896,0.871773,0.947254,0.7240432774020901,116860,117660,800,,162
uniform_h1_128_cutoff,gudhi_simplex_tree,1.363914,1.326472,1.389333,0.4697532249100749,41188,42224,1036,3898,162
uniform_h0_128,cocycle,0.430226,0.425412,0.483808,1.0,1332,2768,1436,,128
uniform_h0_128,gudhi_edge_collapse,8.955002,8.942579,9.58304,0.0480430936810511,41104,42932,1828,469,128
uniform_h0_128,ripser_py,1.792163,1.745311,1.838065,0.24005963743253264,116664,118040,1376,,128
uniform_h0_128,gudhi_simplex_tree,2.01358,1.982603,2.089299,0.2136622334349765,40816,42344,1528,8256,128
uniform_h0_512,cocycle,8.398157999999999,8.255594,9.225859,1.0,3464,7092,2632,,512
uniform_h0_512,ripser_py,36.298467,36.189824,37.425194,0.23136398570220604,118536,134028,14668,,512
uniform_h0_512,gudhi_edge_collapse,482.536797,478.695594,503.833949,0.017404181509498434,43488,60988,16704,1981,512
uniform_h0_512,gudhi_simplex_tree,45.623808,40.113311,50.035332,0.1840740255613911,43552,59536,15188,131328,512
uniform_h0_1024,ripser_py,164.936053,163.896572,167.548541,0.2223893583775768,124984,185548,56588,,1024
uniform_h0_1024,gudhi_simplex_tree,190.848177,188.372721,196.242305,0.19219477794645112,49416,112612,59244,524800,1024
uniform_h0_1024,cocycle,36.680023,36.220141,40.19646,1.0,6508,21800,11292,,1024
uniform_h0_1024,gudhi_edge_collapse,3802.10544,3754.585468,3814.788826,0.009647292422274328,49676,122948,69320,4144,1024
