case,n,backend,status,validation,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,intervals,simplices,reason
uniform_h1_128,128,cocycle,completed,passed,2.750279,2.6739509999999997,2.822377,1.0,1304,3456,2152,163,,
uniform_h1_128,128,ripser_py,completed,passed,5.84134,5.823492,5.882538,0.4708301519856745,116928,118564,1636,163,,
uniform_h1_128,128,gudhi_edge_collapse,completed,passed,9.321578,9.143328,10.750488,0.2950443583693662,41084,42852,1768,163,710,
uniform_h1_128,128,gudhi_simplex_tree,completed,passed,98.043896,97.446365,99.224509,0.02805150664351404,41108,63264,22156,163,349632,
uniform_h1_256,256,gudhi_simplex_tree,completed,passed,1145.573769,1113.269503,1154.47891,0.012179112666117618,41904,209824,167700,315,2796416,
uniform_h1_256,256,cocycle,completed,passed,13.952072,12.907966,15.352946,1.0,2668,6168,3316,315,,
uniform_h1_256,256,ripser_py,completed,passed,25.952685,25.79072,26.814522,0.5375964760486246,117052,121684,4632,315,,
uniform_h1_256,256,gudhi_edge_collapse,completed,passed,64.64669,64.01835,66.858809,0.21582036141370886,41944,46748,4584,315,1520,
uniform_h1_512,512,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 256
uniform_h1_512,512,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 256
uniform_h1_512,512,ripser_py,completed,passed,121.009657,120.354694,122.248486,0.46729244096609573,118708,137052,17524,633,,
uniform_h1_512,512,cocycle,completed,passed,56.546898,56.389399,59.1556,1.0,3472,17464,12992,633,,
uniform_h1_1024,1024,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 256
uniform_h1_1024,1024,cocycle,completed,passed,307.44566699999996,305.45521799999995,318.480613,1.0,6540,67972,57432,1264,,
uniform_h1_1024,1024,ripser_py,completed,passed,612.848004,609.290592,628.434352,0.5016670773068227,124712,197396,68704,1264,,
uniform_h1_1024,1024,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 256
circle_h1_128,128,cocycle,completed,passed,11.036605999999999,11.034629,12.450095,1.0,1316,4768,3452,129,,
circle_h1_128,128,gudhi_edge_collapse,completed,passed,152.564547,151.997376,164.612776,0.07234056808755181,41068,62688,21620,129,341631,
circle_h1_128,128,ripser_py,completed,passed,33.083826,31.777518,33.424854,0.333595213564477,116372,120924,4552,129,,
circle_h1_128,128,gudhi_simplex_tree,completed,passed,88.407239,86.047607,88.62033,0.12483826126500792,40876,63008,22132,129,349632,
circle_h1_256,256,gudhi_edge_collapse,completed,passed,1736.721465,1703.564323,1773.9232,0.06325965459291424,41696,207888,165972,257,2764031,
circle_h1_256,256,ripser_py,completed,passed,278.025744,277.127141,278.463947,0.3951590900157793,117680,146280,28600,257,,
circle_h1_256,256,gudhi_simplex_tree,completed,passed,1037.605855,1020.820641,1046.313367,0.10588259450405665,41876,209776,167676,257,2796416,
circle_h1_256,256,cocycle,completed,passed,109.8644,104.428799,124.277902,1.0,2540,15592,12860,257,,
circle_h1_512,512,ripser_py,completed,passed,2449.535025,2432.277867,2485.036974,0.4761048917845132,118768,297648,178056,513,,
circle_h1_512,512,cocycle,completed,passed,1166.235608,1150.3769960000002,1193.80229,1.0,3316,91736,87412,513,,
circle_h1_512,512,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 256
circle_h1_512,512,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 256
circle_h1_1024,1024,ripser_py,timeout,unverified,,,,,,,,,,
