case,n,backend,status,validation,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,intervals,simplices,reason
circle_h1_128,128,cocycle,completed,passed,11.891611,11.891611,11.891611,1.0,1368,4544,3176,129,,
circle_h1_128,128,ripser_py,completed,passed,32.475933,32.475933,32.475933,0.36616687810016113,116588,121140,4552,129,,
circle_h1_128,128,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_128,128,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_256,256,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_256,256,cocycle,completed,passed,106.818089,106.818089,106.818089,1.0,2748,15800,12868,257,,
circle_h1_256,256,ripser_py,completed,passed,268.637757,268.637757,268.637757,0.39762872573418634,116960,145752,28792,257,,
circle_h1_256,256,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_512,512,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_512,512,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_512,512,ripser_py,completed,passed,2297.71902,2297.71902,2297.71902,0.487018279110559,118896,297772,178056,513,,
circle_h1_512,512,cocycle,completed,passed,1119.031163,1119.031163,1119.031163,1.0,3508,91864,87360,513,,
circle_h1_1024,1024,gudhi_simplex_tree,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
circle_h1_1024,1024,cocycle,completed,passed,14058.308416,14058.308416,14058.308416,1.0,6596,617112,606516,1025,,
circle_h1_1024,1024,ripser_py,completed,passed,21154.127444,21154.127444,21154.127444,0.6645657427003634,124868,741528,612688,1025,,
circle_h1_1024,1024,gudhi_edge_collapse,not_scheduled,passed,,,,,,,,,,predeclared GUDHI limit n <= 0
