case,n,backend,status,validation,median_ms,min_ms,max_ms,cocycle_over_backend,rss_before_kib,peak_rss_kib,hwm_growth_kib,intervals,simplices,reason
uniform_h1_128,128,cocycle,completed,passed,2.701819,2.6950250000000002,2.744795,1.0,1312,3488,2176,163,,
uniform_h1_128,128,ripser_py,completed,passed,5.860775,5.808397,5.900699,0.4610002943296748,116852,118488,1636,163,,
uniform_h1_128,128,gudhi_edge_collapse,completed,passed,9.185989,9.156382,9.198757,0.29412390979349096,40880,42732,1852,163,710,
uniform_h1_128,128,gudhi_simplex_tree,completed,passed,97.735534,97.551483,99.643941,0.02764418312790924,40968,63212,22244,163,349632,
uniform_h1_256,256,gudhi_simplex_tree,completed,passed,1104.628512,1102.734685,1174.472883,0.010712639472409346,42084,209988,167684,315,2796416,
uniform_h1_256,256,cocycle,completed,passed,11.833487,11.798799,14.602524,1.0,2540,6104,3372,315,,
uniform_h1_256,256,ripser_py,completed,passed,26.587774,26.080623,27.45719,0.4450724983595844,117404,121844,4440,315,,
uniform_h1_256,256,gudhi_edge_collapse,completed,passed,63.993386,63.814777,65.935301,0.1849173444268131,41872,46676,4584,315,1520,
uniform_h1_512,512,gudhi_edge_collapse,completed,passed,479.665177,474.437891,480.7325,0.1188102091472027,43552,60964,16616,633,3094,
uniform_h1_512,512,gudhi_simplex_tree,completed,passed,11640.555745,11557.877776,11654.874948,0.004895738764403812,43556,1370848,1326496,633,22370048,
uniform_h1_512,512,ripser_py,completed,passed,122.681228,122.389087,123.156993,0.4645300746419004,118388,136736,17532,633,,
uniform_h1_512,512,cocycle,completed,passed,56.98912,56.59288,57.069387,1.0,3472,17464,12992,633,,
uniform_h1_1024,1024,gudhi_simplex_tree,timeout,passed,,,,,,,,,,
uniform_h1_1024,1024,cocycle,completed,passed,300.202494,299.702095,308.019692,1.0,6596,68028,57432,1264,,
uniform_h1_1024,1024,ripser_py,completed,passed,604.295623,594.949603,605.369767,0.4967808512490252,124816,197236,68440,1264,,
uniform_h1_1024,1024,gudhi_edge_collapse,completed,passed,3714.035325,3711.787061,3734.119387,0.08082919728287723,49720,121444,67772,1264,6666,
circle_h1_128,128,cocycle,completed,passed,11.111585999999999,11.073573,11.789844,1.0,1372,4696,3324,129,,
circle_h1_128,128,gudhi_edge_collapse,completed,passed,146.888128,145.206461,148.503426,0.07564659003619408,41016,62644,21628,129,341631,
circle_h1_128,128,ripser_py,completed,passed,31.639653,31.589408,31.652477,0.3511917782410572,116672,121224,4552,129,,
circle_h1_128,128,gudhi_simplex_tree,completed,passed,88.459199,86.201194,88.845149,0.1256125550040307,40920,63076,22156,129,349632,
circle_h1_256,256,gudhi_edge_collapse,completed,passed,1624.09907,1616.407614,1650.487916,0.06259952109941176,41836,207944,165888,257,2764031,
circle_h1_256,256,ripser_py,completed,passed,265.990782,264.04816,268.170687,0.382223110273047,117336,145932,28596,257,,
